"date","ratio","ratio_gapfill","ratio_7day","hover_text_ratio","hover_text_ratio_7day"
2022-01-01,1.01076,1.01076,1.027756,"Jan 01, 2022<br><b>HV 69-70:K417N ratio</b> 1.011","Jan 01, 2022<br><b>7-day average</b> 1.028"
2022-01-02,1.028086,1.028086,1.020228,"Jan 02, 2022<br><b>HV 69-70:K417N ratio</b> 1.028","Jan 02, 2022<br><b>7-day average</b> 1.02"
2022-01-03,1.029046,1.029046,1.021698,"Jan 03, 2022<br><b>HV 69-70:K417N ratio</b> 1.029","Jan 03, 2022<br><b>7-day average</b> 1.022"
2022-01-04,1.018437,1.018437,1.027618,"Jan 04, 2022<br><b>HV 69-70:K417N ratio</b> 1.018","Jan 04, 2022<br><b>7-day average</b> 1.028"
2022-01-05,0.993025,0.993025,1.018034,"Jan 05, 2022<br><b>HV 69-70:K417N ratio</b> 0.993","Jan 05, 2022<br><b>7-day average</b> 1.018"
2022-01-06,1.020696,1.020696,1.018414,"Jan 06, 2022<br><b>HV 69-70:K417N ratio</b> 1.021","Jan 06, 2022<br><b>7-day average</b> 1.018"
2022-01-07,1.002371,1.002371,1.014631,"Jan 07, 2022<br><b>HV 69-70:K417N ratio</b> 1.002","Jan 07, 2022<br><b>7-day average</b> 1.015"
2022-01-08,0.994238,0.994238,1.012271,"Jan 08, 2022<br><b>HV 69-70:K417N ratio</b> 0.994","Jan 08, 2022<br><b>7-day average</b> 1.012"
2022-01-09,1.008267,1.008267,1.00944,"Jan 09, 2022<br><b>HV 69-70:K417N ratio</b> 1.008","Jan 09, 2022<br><b>7-day average</b> 1.009"
2022-01-10,0.997387,0.997387,1.004917,"Jan 10, 2022<br><b>HV 69-70:K417N ratio</b> 0.997","Jan 10, 2022<br><b>7-day average</b> 1.005"
2022-01-11,1.002045,1.002045,1.002576,"Jan 11, 2022<br><b>HV 69-70:K417N ratio</b> 1.002","Jan 11, 2022<br><b>7-day average</b> 1.003"
2022-01-12,0.999532,0.999532,1.003505,"Jan 12, 2022<br><b>HV 69-70:K417N ratio</b> 1","Jan 12, 2022<br><b>7-day average</b> 1.004"
2022-01-13,1.009394,1.009394,1.001891,"Jan 13, 2022<br><b>HV 69-70:K417N ratio</b> 1.009","Jan 13, 2022<br><b>7-day average</b> 1.002"
2022-01-14,1.018598,1.018598,1.004209,"Jan 14, 2022<br><b>HV 69-70:K417N ratio</b> 1.019","Jan 14, 2022<br><b>7-day average</b> 1.004"
2022-01-15,0.995211,0.995211,1.004348,"Jan 15, 2022<br><b>HV 69-70:K417N ratio</b> 0.995","Jan 15, 2022<br><b>7-day average</b> 1.004"
2022-01-16,0.998136,0.998136,1.002901,"Jan 16, 2022<br><b>HV 69-70:K417N ratio</b> 0.998","Jan 16, 2022<br><b>7-day average</b> 1.003"
2022-01-17,0.97188,0.97188,0.999257,"Jan 17, 2022<br><b>HV 69-70:K417N ratio</b> 0.972","Jan 17, 2022<br><b>7-day average</b> 0.999"
2022-01-18,1.005153,1.005153,0.999701,"Jan 18, 2022<br><b>HV 69-70:K417N ratio</b> 1.005","Jan 18, 2022<br><b>7-day average</b> 1"
2022-01-19,0.984963,0.984963,0.997619,"Jan 19, 2022<br><b>HV 69-70:K417N ratio</b> 0.985","Jan 19, 2022<br><b>7-day average</b> 0.998"
2022-01-20,0.999194,0.999194,0.996162,"Jan 20, 2022<br><b>HV 69-70:K417N ratio</b> 0.999","Jan 20, 2022<br><b>7-day average</b> 0.996"
2022-01-21,1.01038,1.01038,0.994988,"Jan 21, 2022<br><b>HV 69-70:K417N ratio</b> 1.01","Jan 21, 2022<br><b>7-day average</b> 0.995"
2022-01-22,0.977508,0.977508,0.992459,"Jan 22, 2022<br><b>HV 69-70:K417N ratio</b> 0.978","Jan 22, 2022<br><b>7-day average</b> 0.992"
2022-01-23,0.981499,0.981499,0.990082,"Jan 23, 2022<br><b>HV 69-70:K417N ratio</b> 0.981","Jan 23, 2022<br><b>7-day average</b> 0.99"
2022-01-24,0.989026,0.989026,0.992532,"Jan 24, 2022<br><b>HV 69-70:K417N ratio</b> 0.989","Jan 24, 2022<br><b>7-day average</b> 0.993"
2022-01-25,0.995579,0.995579,0.991164,"Jan 25, 2022<br><b>HV 69-70:K417N ratio</b> 0.996","Jan 25, 2022<br><b>7-day average</b> 0.991"
2022-01-26,0.991954,0.991954,0.992163,"Jan 26, 2022<br><b>HV 69-70:K417N ratio</b> 0.992","Jan 26, 2022<br><b>7-day average</b> 0.992"
